"","DA_aux_pp","DA_QUANDO_v","DOPO_aux_pp","FINCHE_v","FINO_A_aux_pp","INVECE_DI_v","ONDE_v","PER_aux_pp","PER_v","PERCHE_v","POICHE_v","PRIMA_CHE_v","PRIMA_DI_aux_pp","PRIMA_DI_v"
"guidare",0,2,0,0,0,1,0,1,1,2,0,0,0,0
"implicare",1,0,0,0,0,0,0,1,0,2,3,0,0,0
"infrangere",0,0,1,0,0,1,4,1,0,0,0,0,0,0
"percepire",2,0,1,0,0,0,0,2,0,0,2,0,0,0
"provocare",1,0,0,0,0,0,1,0,1,0,1,2,0,1
"restituire",1,0,0,0,0,2,2,0,0,0,1,0,0,1
"ricominciare",0,0,0,1,0,0,0,0,1,0,0,1,0,4
"rinunciare",2,0,0,1,0,1,0,0,0,1,1,0,0,1
"riportare",3,0,0,0,0,1,0,1,2,0,0,0,0,0
"risalire",0,0,0,0,0,0,1,0,0,2,3,1,0,0
"sedere",2,0,0,0,0,1,0,0,0,0,0,0,0,4
"servitare",2,0,0,0,0,0,0,5,0,0,0,0,0,0
"spiegare",0,0,0,0,0,1,1,1,3,0,0,0,0,1
"trascurare",0,0,2,1,0,0,0,3,0,1,0,0,0,0
"varare",0,0,1,0,0,0,0,3,1,0,0,0,1,1
"ammettere",0,0,2,0,0,0,0,1,1,0,1,0,1,0
"apprendere",0,0,2,0,0,1,2,0,1,0,0,0,0,0
"arrestare",1,0,0,0,0,0,0,2,0,0,0,0,3,0
"bastare",0,1,0,1,0,0,0,0,0,2,2,0,0,0
"cantare",0,1,1,0,0,0,0,0,3,1,0,0,0,0
"celebrare",2,0,2,0,0,0,0,0,2,0,0,0,0,0
"cogliere",0,0,0,0,0,2,3,0,0,0,1,0,0,0
"dirigere",0,1,0,1,0,2,0,0,0,0,0,0,0,2
"distruggere",0,0,0,0,0,1,0,1,1,1,0,1,1,0
"divorare",0,0,3,0,0,0,0,3,0,0,0,0,0,0
"esprimere",0,0,0,0,0,1,1,0,2,1,1,0,0,0
"frequentare",0,2,3,0,0,0,0,0,0,1,0,0,0,0
